sample,start_time,bpm,slowdown_time,slowdown_ratio,stop_time,amplitude,pan,predelay,radius,duration,colour
/home/alex/midi/32_ticky_things/samples/E Bongo Rim.wav,157.74012242772,108.337355386834,332.844261963953,1.07000652009431,407.647650931055,0.175142665390812,0.166288881774639,39.0535902732044,14,0.108820861678005,tan
/home/alex/midi/32_ticky_things/samples/Ride Cymbal.wav,175.291713269873,17.1396799698608,350,1.06122555122928,397.872923496451,0.098045715337501,0.462841875072475,26.5442461472544,27,3.33646258503401,darkgoldenrod
/home/alex/midi/32_ticky_things/samples/PERC 02.3.wav,5.30833770710434,63.0494828678729,299.793110191717,1.06614390694242,397.483239530555,0.06240043103392,0.562854059875261,19.0781121205923,17,0.058367346938776,chartreuse3
/home/alex/midi/32_ticky_things/samples/c-2.wav,23.8063543984567,4.2494497006466,303.663453210808,1.05528342361838,395.623179839544,0.07,0.827459260199583,53.5353774889007,50,5.5,sienna1
/home/alex/midi/32_ticky_things/samples/Large TanguS.wav,115.21035158861,28.3902390766462,330.911671763894,1.05756109584468,404.06376848553,0.15,0.510660439723393,40.7551212572938,22,2.02931972789116,lightblue3
/home/alex/midi/32_ticky_things/samples/Click808.wav,126.913747660294,53.9579755307273,347.70320945115,1.07635759643466,403.577339549418,0.1098998854285,0.492686665846635,11.5319827313148,18,0.018185941043084,tomato2
/home/alex/midi/32_ticky_things/samples/Tom Low Slow.wav,10.5051421507304,11.8756719615646,317.558520333703,1.077329511993,403.288158735577,0.03,0.419273365601161,54.5084472623786,32,2,grey53
/home/alex/midi/32_ticky_things/samples/DABA.wav,36.5855071517981,14.915492764466,295.39843001497,1.06759599713748,399.824155519837,0.05,0.715624653103686,63.3005966881364,29,2.3,skyblue
/home/alex/midi/32_ticky_things/samples/PERC46.wav,180,24.9734356559242,307.121051782688,1.0447757366668,395,0.08816186136599,0.268872363568565,32.6829126764701,24,0.032675736961451,bisque4
/home/alex/midi/32_ticky_things/samples/PERC 07.1.wav,144.151904948874,47.4156894298222,344.603551604904,1.06044201658342,396.528192462216,0.042678626351934,0.763149077200146,57.4688774365673,18,0.909705215419501,chocolate2
/home/alex/midi/32_ticky_things/samples/MUYUHZ.wav,57.8967932175586,64.939324518374,335.082394750902,1.07265454271637,398.832993892694,0.076512575457694,0.349218268640401,14.3915511665365,17,0.048367346938776,bisque1
